Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan,
62,3,08/20/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1cF_somHFSbjAVcG_6l7Po78Ex_gKZhIn?usp=drive_link,,Pattern Recognition of Old Mac Donald had a farm,K,Pattern Recognition,ELA,Jeni H.,Folder,,,,https://docs.google.com/document/d/1ZreJkU2glRGymzl2I5p2f9Yyg-bAhOxqmcy1F2FTzW0/edit,,
63,3,02/01/2026,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1V4-XarBA-RIi7jliR5riDHW82eAjyYB7?usp=drive_link,,What are living and nonliving things?,1,Algorithms,ELA,Amy H.,Folder,,,,,,
64,3,,,FALSE,,,Decompose two digit math subtraction problems using addition and subtraction,2,Decomposition,Math,Faith M.,Folder,,,,,,
65,3,1/9/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1cVezmhoFeVxXeTff1nwGy3YkIudWiAcu,,Constructing Simple Sentences,"3, 4",Algorithms,ELD,Lori F.,Folder,,,,https://docs.google.com/document/d/1zClgLretcYvXG2jjgAfK6aLg5h7tikteTz8Sma0Q_BE/edit,,
66,3,,,FALSE,,,What makes a shape,K,Decomposition,Math,Shannon,,,,,,,
67,3,,,FALSE,,,Spelling Patterns,2,Pattern Recognition,ELA,Melanie S.,folder,,,,,,
68,3,,,FALSE,,,Decomposing three-digit numbers using base ten and expanded form,2,Decomposition,Math,Jen D.,folder,,,,,,
69,3,12/18/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Mc-36njEo3hPYM1r7xoJSufU74aUDcvW,,Movement Routine Algorithm,3,Algorithms,"SEL, PE",Lori E.,folder,,,,https://docs.google.com/document/d/1LrE8Tq0PZzdiyzHJtH0-EVSdyJVj1K1w-XSTk4MCUgY/edit,,
70,2,12/21/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Se2v4peMz4G0feqib-PQYEY7M6f1NcD1,,I Can Write an Algorithm!,3,Algorithms,ELA,Kelly M.,Folder,,,,https://docs.google.com/document/d/1VGzxPDKpP7zPyqn88vgM9kA1uHy-AryVW1lumLiIBqI/edit,,
71,3,01/13/2026,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1yVMNdG_xwD-YVbY0JcgucYHEDTNjOBwr?usp=drive_link,,Step by Step- Building an Algorithm,2,Algorithms,ELA,Amy P.,folder,,,,https://docs.google.com/document/d/19rfkPMVd9z5V75xV07resvpJnmB3lCV6ArJWZpmfeHQ/edit,,
72,3,,,FALSE,,,Writing Steps for Drawing a Cat,2,Algorithms,ELA,Kathleen M.,folder,,,,,,
73,3,,,FALSE,,,Algorithm for drawing,2,Algorithms,"SEL, ELD",Staci,folder,,,,,,
74,3,7/28/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1rV0IN4FacORWor0cOa6HEpw9Hlfby1Yl,,Captain Jack Abstraction,5,Abstraction,Social Studies,Max S.,folder,,,,https://docs.google.com/document/d/1P-rtDpH3LIkz8q9BHM1t4fMLyhmZUCMFu_opUd2cxBs/edit,,
75,3,7/23/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1k_7BiZ92ZBNdpgswkDZZlDD6T09qqR0k,,Emotional Regulation Plan,5,Algorithms,SEL,Anne C,folder,,,,https://docs.google.com/document/d/1JcOcAISuhJG6yFFo7tLYId7QyVZ0dD2aM31I77jJqS4/edit,,
76,3,7/15/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1GraAu807ahk_ozBKhvmMMdRB_Q-o3bk5,,Juggling CT,"4, 5",Pattern Recognition,PE,Charlie H.,folder,,,,https://docs.google.com/document/d/1EKFSnwTUJe1oqjslrHsyqLjJNsGY74tUr4x9FbzFFcs/edit,,
77,3,1/28/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1rWXesUXcZMzR7fICy3iNomRzNGSICYUc,,Patrones en problemas de palabras,4,Pattern Recognition,Math,Estrella M.,folder,,,Yes,,,
78,3,1/30/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1oO0cDH-l1t7inHGOGA-5KRANv-BtFEiN,,What is the Rule?,4,Pattern Recognition,Math,Kathleen L.,folder,,,Yes,,,
79,3,7/19/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1wXrm4Wn26vCFFXyW1oQfEw_7uM9rZ5tw,,Tesselations in Art and Math,4,Pattern Recognition,"Math, Other",Cory C,folder,,,,https://docs.google.com/document/d/1CZLPWvAmdgC3c5tkl9k_BVOSxceDVPRQdMAE9nSpqGM/edit,,
80,4,08/19/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1CPH_vKnx5QUnPQXSw2_x4ZcgYCPAvkzt?usp=drive_link,,Algorithm Skits and Comic Strips,K,Algorithms,"ELA, Other",Beth L.,Folder,,,,https://docs.google.com/document/d/1nD3O4hou-qRNzed7d3B-WdSOADeTNy_XY7oSsKeDS0U/edit,,
81,4,08/19/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1O9kJ5qXliMDeUivJjNJ_YSyRsv9weoYV?usp=drive_link,,I can Decompose Numbers,K,Decomposition,Math,Lauren M.,Folder,,,,https://docs.google.com/document/d/1_Ma6u6bAlLl0_1QZavYPwiRsZKk26SZopHFDb7-4COY/edit,,
82,4,08/19/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1BC6c74PP5QH7iOlKpMXTU7SUV_mZ1oNm?usp=drive_link,,Cluck Cluck Chicken Life Cycle,K,Algorithms,"ELA, Science",Jeni H.,Folder,,,,https://docs.google.com/document/d/1aA7E0PvpAM7-Sei11_FXu-lSXA3ZEBMQiGb1DWMGTxw/edit,,
83,4,,,FALSE,,,Diorama of Habitat and Graphic Organizer,1,Abstraction,ELA,Amy H.,Folder,,,,,,
84,4,,,FALSE,,,Write Key Details using Abstraction,2,Abstraction,ELA,Faith M.,Folder,,,,,,
85,4,1/9/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1JWwf8oru16IYiZU2ahcAVQma62cjPOri,,Asking Questions,"3, 4",Algorithms,ELD,Lori F.,Folder,,,,https://docs.google.com/document/d/1OQVEMSAJHO_yVG2VOXgCNfIvTwHFtIbTQum04vsLvic/edit,,
