Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan
128,6,,,FALSE,,,Abstraction Animal Report for Student Treasures Book,2,Abstraction,ELA,Jen D.,folder,,,,,,
131,6,,,FALSE,,No lesson plan here,Writing a Science Expirement,2,Algorithms,"ELA, Science",Amy P.,folder,,,,,,
132,6,,,FALSE,,,Abstraction Ashland Brochure Cover,2,Abstraction,Social Studies,Kathleen M.,folder,,,,,,
133,6,,,FALSE,,,Heads Shoulder Knees and Patterns,2,Pattern Recognition,"SEL, PE",Staci,folder,,,,,,
212,5,07/25/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1cqR7vqovVw7yfdwhwigBhBfpdyKyktx2?usp=drive_link,,Fraction Patterns,2,Pattern Recognition,Math,Amy Kneeland,https://drive.google.com/drive/folders/1O3KdsPhBcLTNQwXyAwZckp1Q4pHsNrV8?usp=drive_link,Finalized,WE MAY WANT TO IMPORVE PRK2 standards there's repitition from idnetify to define (recognize) and define to apply (predict). This would need to be changed in all K2 lessons with PR,,,,
239,2,08/07/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1HrQuc3iRVeVZhtoLey4Mj_w2INriKOZ3?usp=drive_link,,Using abstraction to summarize Text (ELA),2,Abstraction,ELA,Cory Carnes and Max Schmeling- adapted by Theresa Rodocker,https://docs.google.com/document/d/1wXCz--Kb9lxj4e_hqik1mBjN1eilJ8D7qX5-TaNWE-k/edit?usp=drive_link,Finalized,,,,,
258,1,06/15/2025,Kelly Martin,TRUE,https://drive.google.com/drive/folders/11ivYt4ZZnv6eO_AXxXfQj3HOHfygHRj3?usp=drive_link,,When to double a letter when adding suffixes -ed or -ing,2,Pattern Recognition,ELA,Jen Dotson,https://drive.google.com/drive/folders/1dZ2TaSDYOPaBtaPfW1IPzggkv4TVA1wF?usp=drive_link,Finalized,,,,,
259,2,08/07/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/153UXQawXt5_AkT_xF13FyM75AtJzuTFm?usp=drive_link,,The Algorithm of a Word Problem,2,Algorithms,Math,Jen Dotson,https://docs.google.com/document/d/1SFITN9IM44mDPIQ299S2EvaSPyPSvz1288phElH8pCM/edit?tab=t.0,Finalized,,,,,
260,3,07/25/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1xdKUzrL8DHXHqj0E7c-M_BZxbWhVtXWm?usp=drive_link,,Pattern Recognition in Plural Nouns,2,Pattern Recognition,ELA,Jen Dotson,https://docs.google.com/document/d/11eAYigpoa8IpkL98xlmcfrIme3TZbSg1c-A_hBDTRAQ/edit?tab=t.0,Finalized,,,,,
261,4,08/07/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1SdTEQgwfuUk2n-u4V9ZtTSIPQYZ-ALs4?usp=sharing,,Decomposing 3 Digit Numbers,2,Decomposition,Math,Jen Dotson,https://docs.google.com/document/d/1WlOZMLO3lDN8mOQTVripCjxfzXMjUmkPIG0MNVcIZCI/edit?tab=t.0,Finalized,,,,,
262,5,08/07/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1_i700WSn9hy1mqC-13_Q4-NaVDolJmbH?usp=drive_link,,The Algorithm for adding 3 digit Numbers,2,Algorithms,Math,Jen Dotson,https://docs.google.com/document/d/1IKToc3LBT1Oc4uLfkGhww5g5atLJiH2uvilpRmAGHfY/edit?tab=t.0,Finalized,,,,,
263,6,08/07/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1r2AOZEp7av0_ZKy-HaCzop_dbrhJ9vaL?usp=drive_link,,Abstracting Key Details in Text about Animals,2,Abstraction,ELA,Jen Dotson,https://docs.google.com/document/d/1NDvX9OB0wpYPqsV5zzgPT77JGXRHTL55Np6fGwsDvnQ/edit?tab=t.0,,,,,,
314,1,08/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1pjfuWLxPwZvmSqsmkHmOWsttknQHXBQ4?usp=drive_link,,SEL Feeling words,2,Abstraction,SEL,Melanie Sprague adapted by Theresa Rodocker,https://drive.google.com/drive/folders/1c7lWPiSAJ0h-yAdcAyJSDhwWLu7-YXVw?usp=drive_link,Finalized,,,,,
323,3,08/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1XxcHpEHgPnBzveiKQdwnsUZEcRP74qXk?usp=drive_link,,Snowflake Patterns,2,Pattern Recognition,ELA,Staci Murillo adapted by Theresa Rodocker,https://docs.google.com/document/d/1dnu33fZSBByocKlQc6x4vt98ldBB4EzIEM21Vs91c8M/edit?usp=sharing,Finalized,,,,,
324,4,08/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1qUT_qZzuJO27pNlcYj0SDwodCmltDZyB?usp=drive_link,,Using Patterns to Create A body movement book,2,Pattern Recognition,SEL,Theresa Rodocker,https://docs.google.com/document/d/1yNb_JFwRmx3IOMMMczFdAAtNeF1rHXDCMpQYOx71sjk/edit?usp=sharing,Finalized,,,,,
325,5,08/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1Us6yaCa1GNGDRp6-bwrtasFU9iWXyPyu?usp=drive_link,,Creating a 3 Digit Algorithm for Adding and Subtracting,2,Algorithms,Math,Theresa Rodocker,https://docs.google.com/document/d/1vPs82T07dWZf3LFRC9p4ocYGxWdwbEg4ZeI3njoPCts/edit?usp=sharing,Needs additonal update,left a comment about what students' are doing ,,,,
